Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2015-06-01,61.56430000002729,0.13,69475.94831604915,3.573528997401998,17.7,7.2
2015-07-01,484.6276999999536,0.13,69451.75884555935,3.7799469331991027,17.7,7.0
2015-08-01,740.4183000000194,0.14,69487.22717895015,3.4243229000319366,17.7,6.9
2015-09-01,1066.2428000000073,0.14,69596.40675942777,3.194962614808834,17.7,6.8
2015-10-01,1315.719299999997,0.12,69783.91660419256,3.1773498040374997,17.7,6.8
2015-11-01,1372.8219999999856,0.12,70074.31560600328,3.400439289200392,17.7,6.7
2015-12-01,1258.3306999999913,0.24,70460.41076666619,2.9511232893246633,17.7,6.6
2016-01-01,1366.8551000000443,0.34,70980.0,2.383387114722401,17.7,6.6
2016-02-01,1097.7976999999955,0.38,71628.73296334222,2.3699486634802627,17.7,6.5
2016-03-01,501.56099999998696,0.36,72338.30512602274,2.600734404064256,17.7,6.4
2016-04-01,-58.37900000001537,0.37,73185.8563730805,2.4575537554054256,17.3,6.3
2016-05-01,-111.57679999998072,0.37,74073.50055487955,2.398768986399277,17.3,6.2
2016-06-01,211.00770000001648,0.38,75039.10465440305,2.3075016477167654,17.3,6.1
2016-07-01,180.6235999999917,0.39,75999.97388488517,2.120037610760496,17.3,6.1
2016-08-01,84.87169999995967,0.4,76998.85689922128,2.55095492760763,17.3,6.1
2016-09-01,271.38400000002,0.4,77982.16420617151,3.0094817256791453,17.3,6.2
2016-10-01,1048.1180000000168,0.4,78898.29987537897,2.7157857110241372,17.3,6.2
2016-11-01,1709.3174,0.41,79787.03032232067,2.710822116207161,17.3,6.3
2016-12-01,2071.6359999999986,0.54,80570.62035071998,2.9333973242202314,17.3,6.3
2017-01-01,1888.3283999999985,0.65,81280.0,2.6795466234993315,17.3,6.3
2017-02-01,1899.32150000002,0.66,81872.68649523563,2.8954678268209175,17.3,6.3
2017-03-01,1665.6141999999527,0.79,82318.17662076463,3.1208886110209777,17.3,6.3
2017-04-01,1460.8089000000036,0.9,82730.11842888562,3.3812465718879094,18.6,6.2
2017-05-01,730.4945000000298,0.91,83065.44159981594,3.754163233274463,18.6,6.2
2017-06-01,289.4286999999895,1.04,83365.72119482444,3.5377068279796955,18.6,6.2
2017-07-01,-27.45030000002589,1.15,83629.98233827052,3.490513704016838,18.6,6.2
2017-08-01,287.33050000004005,1.16,83895.0626229241,2.793784072246358,18.6,6.1
2017-09-01,881.6089999999967,1.15,84171.55763572901,2.107651146095088,18.6,6.1
2017-10-01,1398.884699999995,1.15,84468.6019734495,2.2820014305362473,18.6,6.1
2017-11-01,1549.8276999999653,1.16,84825.21877514041,2.3931936343699802,18.6,6.0
2017-12-01,1700.8592000000062,1.3,85236.79850666552,2.0606583491319297,18.6,6.0
2018-01-01,1715.8843000000343,1.41,85750.0,1.7833398986227662,18.6,5.9
2018-02-01,1575.9347999999882,1.42,86364.60352221348,2.3071733375169208,18.6,5.9
2018-03-01,1588.1586999999708,1.51,86992.42434875183,2.6466738700647827,18.6,5.9
2018-04-01,1188.7131999999983,1.69,87744.86893176516,2.3421890516834614,16.6,5.8
2018-05-01,1208.6774000000441,1.7,88507.54758413343,2.132790240389525,16.6,5.8
2018-06-01,558.3378999999841,1.82,89306.86367010286,2.071859027043958,16.6,5.8
2018-07-01,1029.488000000012,1.91,90067.85208092273,1.984430627196514,16.6,5.7
2018-08-01,943.9256000000169,1.91,90816.80349806936,2.263379593013494,16.6,5.6
