Year,Quarter,Date,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel
2021,4,2021-10-01,6.3,284.09516666666667,0.08,3.077666666666667,503995.9727666667,5.304387169290903,99654.70532187104,669.256,16.5,6.083333333333333,2.6433333333333335,2021-Q4,Q4 2021
2022,1,2022-01-01,5.6000000000000005,289.4525,0.12,3.7931666666666666,516235.6161,-1.7344356399744867,102680.01081658756,676.725,13.300000000000002,6.916666666666667,2.033333333333333,2022-Q1,Q1 2022
2022,2,2022-04-01,4.666666666666667,296.40000000000003,0.77,5.244833333333333,536873.4782666666,1.4029708973638868,105505.87172657148,676.725,13.300000000000002,9.406666666666668,1.8999999999999997,2022-Q2,Q2 2022
2022,3,2022-07-01,4.133333333333334,299.6025,2.19,5.582333333333334,537779.5657666667,3.086229908096529,108026.90776656849,676.725,13.300000000000002,9.96,2.033333333333333,2022-Q3,Q3 2022
2022,4,2022-10-01,4.6000000000000005,299.79283333333336,3.653333333333333,6.689666666666667,529217.7826,3.3268638590862953,110020.66114595391,676.725,13.300000000000002,6.916666666666667,2.033333333333333,2022-Q4,Q4 2022
2023,1,2023-01-01,4.966666666666667,301.03950000000003,4.516666666666667,6.358,527312.8544666666,2.4740711367104042,111000.0,687.324,14.0,6.640000000000001,2.0,2023-Q1,Q1 2023
2023,2,2023-04-01,4.833333333333333,305.1098333333333,4.989999999999999,6.493833333333334,531745.8103333333,3.0411195252729,111000.0,687.324,14.0,6.640000000000001,2.0,2023-Q2,Q2 2023
2023,3,2023-07-01,4.8,307.2635,5.260000000000001,7.037333333333334,540761.7125,4.392106832346403,111000.0,687.324,14.0,6.640000000000001,2.0,2023-Q3,Q3 2023
2023,4,2023-10-01,4.9,308.8151666666667,5.33,7.2923333333333344,544579.6211666666,2.440063361125832,111000.0,687.324,14.0,6.640000000000001,2.0,2023-Q4,Q4 2023
2024,1,2024-01-01,5.1000000000000005,311.5345,5.33,6.746166666666667,547556.8668333333,1.875120998734086,111000.0,702.25,14.0,6.640000000000001,2.0,2024-Q1,Q1 2024
2024,2,2024-04-01,5.3,315.37016666666665,5.33,6.989999999999999,557065.5291,3.2735250708863664,111000.0,702.25,14.0,6.640000000000001,2.0,2024-Q2,Q2 2024
2024,3,2024-07-01,5.633333333333333,316.9135,5.263333333333333,6.509166666666666,560708.9579333334,2.81899263269749,111000.0,702.25,14.0,6.640000000000001,2.0,2024-Q3,Q3 2024
2024,4,2024-10-01,5.6000000000000005,316.85116666666664,4.6499999999999995,6.649333333333334,566134.5645333333,2.3,111000.0,702.25,14.0,6.640000000000001,2.0,2024-Q4,Q4 2024
